Side,Symbol,Name,Order Price,Order Qty,Order Amount,Status,Filled@Avg Price,Order Time,Order Type,Time-in-Force,Allow Pre-Market,Session,Trigger price,Position Opening,Markets,Currency,Order Source,Fill Qty,Fill Price,Fill Amount,Fill Time,Markets.1,Currency.1,Counterparty,Remarks,Commission,Platform Fees,Settlement Fees,Options Regulatory Fees,OCC Fees,Option Settlement Fees,SEC Fees,Trading Activity Fees,Stamp Duty,Trading Fees,SFC Levy,FRC Levy,Trading Tariff,Consolidated Audit Trail Fees,Total
Buy,TQQQ,ProShares UltraPro QQQ ETF,51.6,10,516.0,Filled,9@54.21,"Dec 17, 2025 12:05:15 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,10,53.76,537.6,"Dec 17, 2025 12:05:15 ET",US,USD,,,0.94,0.96,0.03,,,,,,,,,,,,1.93
Buy,TQQQ,ProShares UltraPro QQQ ETF,45.31,11,498.41,Filled,11@48.38,"Dec 17, 2025 12:05:03 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,10,54.98,549.8,"Dec 17, 2025 12:05:45 ET",US,USD,,,0.95,1.08,0.03,,,,,,,,,,,,2.06
Buy,NVDA260618C205/215,NVDA Vertical,2.1,3unit(s),,Cancelled,0unit(s)@0.00,"Dec 17, 2025 11:50:28 ET",Limit,Day,,,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,NVDA260618C205000,NVDA 260618 205.00C,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Sell,NVDA260618C215000,NVDA 260618 215.00C,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,NVDA,NVIDIA,161.13,9,1450.17,Filled,9@169.22,"Dec 17, 2025 11:49:39 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,11,163.91,1803.01,"Dec 17, 2025 11:49:39 ET",US,USD,,,0.96,0.92,0.03,,,,,,,,,,,,1.91
Buy,NVDA260618C205/215,NVDA Vertical,2.6,3unit(s),,Filled,3unit(s)@2.48,"Dec 17, 2025 09:50:54 ET",Limit,Day,,,,,US,USD,,,,,,,,,,4.14,1.86,,0.08,0.12,1.15,,0.01,,,,,,,7.36
Buy,NVDA260618C205000,NVDA 260618 205.00C,,3,,,,,,,,,,,,,,3,12.14,36.42,"Dec 17, 2025 10:00:03 ET",US,USD,,,,,,,,,,,,,,,,,0.0
Sell,NVDA260618C215000,NVDA 260618 215.00C,,3,,,,,,,,,,,,,,3,9.58,28.74,"Dec 17, 2025 10:00:03 ET",US,USD,,,,,,,,,,,,,,,,,0.0
Buy,NVDA260618C205/215,NVDA Vertical,2.28,3unit(s),,Cancelled,0unit(s)@0.00,"Dec 16, 2025 10:31:57 ET",Limit,Day,,,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,NVDA260618C205000,NVDA 260618 205.00C,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Sell,NVDA260618C215000,NVDA 260618 215.00C,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,HIMS260618C45/50,HIMS Vertical,0.84,3unit(s),,Cancelled,0unit(s)@0.00,"Dec 15, 2025 10:10:33 ET",Limit,Day,,,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
