方向,代码,名称,订单价格,订单数量,订单金额,交易状态,已成交@均价,下单时间,订单类型,期限,盘前竞价,时段,触发价,允许开仓,市场,币种,订单来源,成交数量,成交价格,成交金额,成交时间,市场.1,币种.1,对手经纪,备注,佣金,平台使用费,交收费,印花税,交易费,证监会征费,财汇局征费,期权监管费,期权清算费,期权交收费,证监会规费,交易活动费,交易系统使用费,综合审计跟踪监管费,合计费用
买入,AMZN260618P195000,AMZN 260618 195.00P,4.9,1,4.9,全部成交,1@5.1,2025/11/03 09:38:46 (美东),限价单,当日有效,,,,,美股,USD,,1,5.46,5.46,2025/11/03 09:38:47 (美东),美股,USD,,,1.91,0.32,,,,,,0.01,0.02,0.17,,,,0.0,2.43
买入,AMZN260618P195000,AMZN 260618 195.00P,5.14,1,5.14,全部成交,1@5.68,2025/10/31 09:44:35 (美东),限价单,当日有效,,,,,美股,USD,,1,5.81,5.81,2025/10/31 09:44:35 (美东),美股,USD,,,1.83,0.32,,,,,,0.02,0.02,0.19,,,,0.0,2.38
卖出,AMZN,亚马逊,205.28,5,1026.4,全部成交,5@224.25,2025/10/30 10:22:53 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,5,227.69,1138.45,2025/10/30 10:22:53 (美东),美股,USD,,,0.96,1.0,0.02,,,,,,,,,0.01,,0.0,1.99
买入,HIMS,Hims & Hers Health,51.18,21,1074.78,全部成交,21@48.95,2025/10/29 10:23:00 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,21,47.55,998.55,2025/10/29 10:23:01 (美东),美股,USD,,,0.94,0.95,0.06,,,,,,,,,,,0.0,1.95
买入,HIMS,Hims & Hers Health,47.77,21,1003.17,全部成交,22@46.37,2025/10/24 15:36:37 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,21,48.77,1024.17,2025/10/24 15:36:37 (美东),美股,USD,,,1.07,0.94,0.06,,,,,,,,,,,0.0,2.07
买入,01810,小米集团-W,40.81,408,16650.48,已撤单,0@0.0,2025/10/23 10:50:26 (香港),限价单,当日有效,允许,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,01810,小米集团-W,48.89,192,9386.88,全部成交,182@41.62,2025/10/22 11:38:00 (香港),限价单,当日有效,允许,,,,港股,HKD,,208,44.25,9204.0,2025/10/22 11:38:20 (香港),港股,HKD,,,3.06,15.49,0.42,9.22,0.53,0.23,0.01,,,,,,,,28.96
卖空,AMZN260618P195000,AMZN 260618 195.00P,12.3,1,12.3,全部成交,1@10.41,2025/10/21 09:32:44 (美东),限价单,当日有效,,,,,美股,USD,,1,11.11,11.11,2025/10/21 09:32:44 (美东),美股,USD,,,1.8,0.29,,,,,,0.02,0.02,0.18,,0.01,,0.0,2.32
买入,01810,小米集团-W,43.18,185,7988.3,全部成交,184@45.03,2025/10/21 11:16:41 (香港),限价单,当日有效,允许,,,,港股,HKD,,196,49.49,9700.04,2025/10/21 11:30:26 (香港),港股,HKD,,,2.86,13.8,0.39,9.46,0.57,0.24,0.01,,,,,,,,27.33
卖出,HIMS,Hims & Hers Health,市价,22,,全部成交,20@53.75,2025/10/20 10:04:57 (美东),市价单,当日有效,,盘中,,,美股,USD,,19,53.75,1021.25,2025/10/20 10:04:58 (美东),美股,USD,,,0.99,0.97,0.06,,,,,,,,,0.01,,0.0,2.03
卖出,01810,小米集团-W,44.78,208,9314.24,已撤单,0@0.0,2025/10/20 11:37:18 (香港),限价单,当日有效,允许,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,01810,小米集团-W,42.4,398,16875.2,已撤单,0@0.0,2025/10/20 03:35:10 (香港),限价单,2025/11/20 (香港) 收盘前有效,允许,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,01810,小米集团-W,44.87,213,9557.31,已撤单,0@0.0,2025/10/20 03:34:58 (香港),限价单,2025/11/20 (香港) 收盘前有效,允许,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,01810,小米集团-W,41.36,200,8272.0,已撤单,0@0.0,2025/10/20 03:34:36 (香港),限价单,2025/11/20 (香港) 收盘前有效,允许,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,01810,小米集团-W,43.16,208,8977.28,全部成交,196@42.04,2025/10/20 03:34:08 (香港),限价单,2025/11/20 (香港) 收盘前有效,允许,,,,港股,HKD,,211,45.63,9627.93,2025/10/27 09:30:10 (香港),港股,HKD,,,2.73,13.7,0.4,10.67,0.55,0.27,0.01,,,,,,,,28.33
买入,IBIT,比特币ETF-iShares,57.75,10,577.5,下单失败,0@0.0,2025/10/17 14:10:40 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,HIMS,Hims & Hers Health,51.63,18,929.34,全部成交,17@57.36,2025/10/17 10:54:53 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,17,50.84,864.28,2025/10/17 10:54:54 (美东),美股,USD,,,1.03,1.01,0.05,,,,,,,,,,,0.0,2.09
卖出,BMNR,Bitmine Immersion Technologies,47.52,39,1853.28,全部成交,38@46.08,2025/10/17 10:42:24 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,38,47.99,1823.62,2025/10/17 10:42:24 (美东),美股,USD,,,0.94,1.01,0.13,,,,,,,,,0.01,,0.0,2.09
卖出,09988,阿里巴巴-W,139.22,213,29653.86,全部成交,211@148.43,2025/10/17 15:24:02 (香港),限价单,当日有效,允许,,,,港股,HKD,,186,166.0,30876.0,2025/10/17 15:24:05 (香港),港股,HKD,,,9.42,15.72,1.38,29.04,1.6,0.86,0.05,,,,,,,,58.07
买入,01810,小米集团-W,49.13,377,18522.01,已撤单,0@0.0,2025/10/17 13:46:38 (香港),限价单,当日有效,允许,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,01810,小米集团-W,44.45,209,9290.05,全部成交,192@47.52,2025/10/17 10:45:34 (香港),限价单,当日有效,允许,,,,港股,HKD,,215,47.4,10191.0,2025/10/17 10:45:34 (香港),港股,HKD,,,3.28,16.12,0.4,10.53,0.5,0.26,0.01,,,,,,,,31.1
卖出,HIMS,Hims & Hers Health,市价,17,,全部成交,17@55.05,2025/10/16 12:09:22 (美东),市价单,当日有效,,盘中,,,美股,USD,,15,54.36,815.4,2025/10/16 12:09:22 (美东),美股,USD,,,1.05,1.09,0.05,,,,,,,,,0.01,,0.0,2.2
卖出,HIMS,Hims & Hers Health,55.77,17,948.09,已撤单,0@0.0,2025/10/16 12:09:15 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,HIMS,Hims & Hers Health,触及市价,15,,已撤单,0@0.0,2025/10/16 11:30:22 (美东),触及市价单(止盈),当日有效,,盘中,70.0,允许,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,BMNR,Bitmine Immersion Technologies,56.34,11,619.74,全部成交,10@56.44,2025/10/14 12:27:26 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,11,51.22,563.42,2025/10/14 12:27:27 (美东),美股,USD,,,1.06,0.91,0.03,,,,,,,,,,,0.0,2.0
