"Side","Symbol","Name","Order Price","Order Qty","Order Amount","Status","Filled@Avg Price","Order Time","Order Type","Time-in-Force","Allow Pre-Market","Session","Trigger price","Position Opening","Markets","Currency","Order Source","Fill Qty","Fill Price","Fill Amount","Fill Time","Markets","Currency","Counterparty","Remarks","Commission","Platform Fees","Settlement Fees","Options Regulatory Fees","OCC Fees","Option Settlement Fees","SEC Fees","Trading Activity Fees","Stamp Duty","Trading Fees","SFC Levy","FRC Levy","Trading Tariff","Consolidated Audit Trail Fees","Total"
"Buy","TQQQ","ProShares UltraPro QQQ ETF","50.20","10","502.00","Filled","10@50.1499","Dec 17, 2025 12:05:15 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","10","50.1499","501.50","Dec 17, 2025 12:05:15 ET","US","USD","","","0.99","1","0.03","","","","","","","","","","","","2.02"
"Buy","TQQQ","ProShares UltraPro QQQ ETF","50.07","10","500.70","Filled","10@50.07","Dec 17, 2025 12:05:03 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","10","50.07","500.70","Dec 17, 2025 12:05:45 ET","US","USD","","","0.99","1","0.03","","","","","","","","","","","","2.02"
"Buy","NVDA260618C205/215","NVDA Vertical","2.20","3unit(s)","660.00","Cancelled","0unit(s)@0.00","Dec 17, 2025 11:50:28 ET","Limit","Day","","","","","US","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","NVDA260618C205000","NVDA 260618 205.00C","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sell","NVDA260618C215000","NVDA 260618 215.00C","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","NVDA","NVIDIA","170.57","10","1,705.70","Filled","10@170.55","Dec 17, 2025 11:49:39 ET","Limit","Day","","RTH + Pre/Post-Mkt","","","US","USD","","10","170.55","1,705.50","Dec 17, 2025 11:49:39 ET","US","USD","","","0.99","1","0.03","","","","","","","","","","","","2.02"
"Buy","NVDA260618C205/215","NVDA Vertical","2.48","3unit(s)","744.00","Filled","3unit(s)@2.48","Dec 17, 2025 09:50:54 ET","Limit","Day","","","","","US","USD","","","","","","","","","","3.98","1.8","","0.08","0.12","1.08","","0.01","","","","","","","7.07"
"Buy","NVDA260618C205000","NVDA 260618 205.00C","","3","","","","","","","","","","","","","","3","11.85","3,555.00","Dec 17, 2025 10:00:03 ET","US","USD","","","","","","","","","","","","","","","","",""
"Sell","NVDA260618C215000","NVDA 260618 215.00C","","3","","","","","","","","","","","","","","3","9.37","2,811.00","Dec 17, 2025 10:00:03 ET","US","USD","","","","","","","","","","","","","","","","",""
"Buy","NVDA260618C205/215","NVDA Vertical","2.20","3unit(s)","660.00","Cancelled","0unit(s)@0.00","Dec 16, 2025 10:31:57 ET","Limit","Day","","","","","US","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"Buy","NVDA260618C205000","NVDA 260618 205.00C","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sell","NVDA260618C215000","NVDA 260618 215.00C","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
