"Symbol","Name","Quantity","Current price","Average Cost","Market Value","% Unrealized P/L","Total P/L","Unrealized P/L","Realized P/L","Today's P/L","% of Portfolio","Currency","Today's Turnover","Today's Purchase@Avg Price","Today's Sales@Avg Price","Initial Margin","Delta","Gamma (options only)","Vega (options only)","Theta (options only)","Rho (options only)","IV (options only)","Intrinsic Value (options only)","Extrinsic Value (options only)"
"HIMS","Hims & Hers Health","10","35.560","51.60","355.60","-31.09%","-2,005.30","-160.40","-1,844.90","0.00","1.13%","USD","0.00","--","--","249.90","10.00","--","--","--","--","--","--","--"
"HIMS260618C45/50","HIMS Vertical","6","1.100","1.40","660.00","-21.43%","-180.00","-180.00","0.00","0.00","2.09%","USD","0.00","--","--","0.00","--","--","--","--","--","--","--","--"
"HIMS260618C45000","HIMS 260618 45.00C","6","5.25","7.95","3,150.00","-33.96%","-1,620.00","-1,620.00","0.00","0.00","9.98%","USD","0.00","--","--","--","--","--","--","--","--","--","--","--"
"HIMS260618C50000","HIMS 260618 50.00C","-6","4.15","6.55","-2,490.00","+36.64%","+1,440.00","+1,440.00","0.00","0.00","-7.89%","USD","0.00","--","--","--","--","--","--","--","--","--","--","--"
"09988","BABA-W","200","145.300","136.984","29,060.00","+6.07%","+18,600.00","+1,663.15","+16,936.85","0.00","11.83%","HKD","0.00","--","--","8,718.00","200.00","--","--","--","--","--","--","--"
"01810","XIAOMI-W","2,200","40.540","43.457","89,188.00","-6.71%","-6,428.00","-6,418.22","-9.78","0.00","36.30%","HKD","0.00","--","--","26,756.40","2200.00","--","--","--","--","--","--","--"
"NVDA","NVIDIA","15","180.990","173.433","2,714.85","+4.36%","+113.35","+113.35","0.00","0.00","8.60%","USD","0.00","--","--","1,142.69","15.00","--","--","--","--","--","--","--"
"NVDA260618C205/215","NVDA Vertical","21","2.875","3.18","6,037.50","-9.59%","-641.50","-641.50","0.00","0.00","19.12%","USD","0.00","--","--","0.00","--","--","--","--","--","--","--","--"
"NVDA260618C205000","NVDA 260618 205.00C","21","13.93","18.01","29,242.50","-22.68%","-8,579.50","-8,579.50","0.00","0.00","92.61%","USD","0.00","--","--","--","--","--","--","--","--","--","--","--"
"NVDA260618C215000","NVDA 260618 215.00C","-21","11.05","14.83","-23,205.00","+25.49%","+7,938.00","+7,938.00","0.00","0.00","-73.49%","USD","0.00","--","--","--","--","--","--","--","--","--","--","--"
"TQQQ","ProShares UltraPro QQQ ETF","100","53.520","53.418","5,352.00","+0.19%","+145.12","+10.23","+134.89","0.00","16.95%","USD","0.00","--","--","2,693.50","100.00","--","--","--","--","--","--","--"
