"方向","代码","名称","订单价格","订单数量","订单金额","交易状态","已成交@均价","下单时间","订单类型","期限","盘前竞价","时段","触发价","允许开仓","市场","币种","订单来源","成交数量","成交价格","成交金额","成交时间","市场","币种","对手经纪","备注","佣金","平台使用费","交收费","印花税","交易费","证监会征费","财汇局征费","期权监管费","期权清算费","期权交收费","证监会规费","交易活动费","交易系统使用费","综合审计跟踪监管费","合计费用"
"买入","AMZN260618P195000","AMZN 260618 195.00P","5.20","1","520.00","全部成交","1@5.20","2025/11/03 09:38:46 (美东)","限价单","当日有效","","","","","美股","USD","","1","5.20","520.00","2025/11/03 09:38:47 (美东)","美股","USD","","","1.99","0.3","","","","","","0.01","0.02","0.18","","","","0","2.5"
"买入","AMZN260618P195000","AMZN 260618 195.00P","5.65","1","565.00","全部成交","1@5.65","2025/10/31 09:44:35 (美东)","限价单","当日有效","","","","","美股","USD","","1","5.65","565.00","2025/10/31 09:44:35 (美东)","美股","USD","","","1.99","0.3","","","","","","0.02","0.02","0.18","","","","0","2.51"
"卖出","AMZN","亚马逊","227.17","5","1,135.85","全部成交","5@227.27","2025/10/30 10:22:53 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","5","227.27","1,136.35","2025/10/30 10:22:53 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","0.01","","0","2.02"
"买入","HIMS","Hims & Hers Health","47.56","20","951.20","全部成交","20@47.56","2025/10/29 10:23:00 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","47.56","951.20","2025/10/29 10:23:01 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","","","0","2.05"
"买入","HIMS","Hims & Hers Health","49.18","20","983.60","全部成交","20@49.12","2025/10/24 15:36:37 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","49.12","982.40","2025/10/24 15:36:37 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","","","0","2.05"
"买入","01810","小米集团-W","43.80","400","17,520.00","已撤单","0@0.00","2025/10/23 10:50:26 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","01810","小米集团-W","45.88","200","9,176.00","全部成交","200@45.88","2025/10/22 11:38:00 (香港)","限价单","当日有效","允许","","","","港股","HKD","","200","45.88","9,176.00","2025/10/22 11:38:20 (香港)","港股","HKD","8038","","3","15","0.39","10","0.52","0.25","0.01","","","","","","","","29.17"
"卖空","AMZN260618P195000","AMZN 260618 195.00P","11.40","1","1,140.00","全部成交","1@11.40","2025/10/21 09:32:44 (美东)","限价单","当日有效","","","","","美股","USD","","1","11.40","1,140.00","2025/10/21 09:32:44 (美东)","美股","USD","","","1.99","0.3","","","","","","0.02","0.02","0.18","","0.01","","0","2.52"
"买入","01810","小米集团-W","47.64","200","9,528.00","全部成交","200@47.64","2025/10/21 11:16:41 (香港)","限价单","当日有效","允许","","","","港股","HKD","","200","47.64","9,528.00","2025/10/21 11:30:26 (香港)","港股","HKD","6996","","3","15","0.4","10","0.54","0.26","0.01","","","","","","","","29.21"
"卖出","HIMS","Hims & Hers Health","市价","20","1,030.61","全部成交","20@51.5303","2025/10/20 10:04:57 (美东)","市价单","当日有效","","盘中","","","美股","USD","","20","51.5303","1,030.61","2025/10/20 10:04:58 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","0.01","","0","2.06"
"卖出","01810","小米集团-W","49.06","200","9,812.00","已撤单","0@0.00","2025/10/20 11:37:18 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","01810","小米集团-W","43.00","400","17,200.00","已撤单","0@0.00","2025/10/20 03:35:10 (香港)","限价单","2025/11/20 (香港) 收盘前有效","允许","","","","港股","HKD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","01810","小米集团-W","43.84","200","8,768.00","已撤单","0@0.00","2025/10/20 03:34:58 (香港)","限价单","2025/11/20 (香港) 收盘前有效","允许","","","","港股","HKD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","01810","小米集团-W","44.76","200","8,952.00","已撤单","0@0.00","2025/10/20 03:34:36 (香港)","限价单","2025/11/20 (香港) 收盘前有效","允许","","","","港股","HKD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","01810","小米集团-W","45.68","200","9,136.00","全部成交","200@45.68","2025/10/20 03:34:08 (香港)","限价单","2025/11/20 (香港) 收盘前有效","允许","","","","港股","HKD","","200","45.68","9,136.00","2025/10/27 09:30:10 (香港)","港股","HKD","6996","","3","15","0.38","10","0.52","0.25","0.01","","","","","","","","29.16"
"买入","IBIT","比特币ETF-iShares","60.69","10","606.90","下单失败","0@0.00","2025/10/17 14:10:40 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","HIMS","Hims & Hers Health","53.33","16","853.28","全部成交","16@53.3097","2025/10/17 10:54:53 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","16","53.3097","852.96","2025/10/17 10:54:54 (美东)","美股","USD","","","0.99","1","0.05","","","","","","","","","","","0","2.04"
"卖出","BMNR","Bitmine Immersion Technologies","48.94","40","1,957.60","全部成交","40@48.965","2025/10/17 10:42:24 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","40","48.965","1,958.60","2025/10/17 10:42:24 (美东)","美股","USD","","","0.99","1","0.12","","","","","","","","","0.01","","0","2.12"
"卖出","09988","阿里巴巴-W","153.10","200","30,620.00","全部成交","200@153.10","2025/10/17 15:24:02 (香港)","限价单","当日有效","允许","","","","港股","HKD","","200","153.10","30,620.00","2025/10/17 15:24:05 (香港)","港股","HKD","5525","","9.19","15","1.29","31","1.73","0.83","0.05","","","","","","","","59.09"
"买入","01810","小米集团-W","45.68","400","18,272.00","已撤单","0@0.00","2025/10/17 13:46:38 (香港)","限价单","当日有效","允许","","","","港股","HKD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","01810","小米集团-W","46.62","200","9,324.00","全部成交","200@46.62","2025/10/17 10:45:34 (香港)","限价单","当日有效","允许","","","","港股","HKD","","200","46.62","9,324.00","2025/10/17 10:45:34 (香港)","港股","HKD","3079","","3","15","0.39","10","0.53","0.25","0.01","","","","","","","","29.18"
"卖出","HIMS","Hims & Hers Health","市价","16","958.64","全部成交","16@59.9151","2025/10/16 12:09:22 (美东)","市价单","当日有效","","盘中","","","美股","USD","","16","59.9151","958.64","2025/10/16 12:09:22 (美东)","美股","USD","","","0.99","1","0.05","","","","","","","","","0.01","","0","2.05"
"卖出","HIMS","Hims & Hers Health","59.95","16","959.20","已撤单","0@0.00","2025/10/16 12:09:15 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"卖出","HIMS","Hims & Hers Health","触及市价","16","0.00","已撤单","0@0.00","2025/10/16 11:30:22 (美东)","触及市价单(止盈)","当日有效","","盘中","70.00","允许","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","BMNR","Bitmine Immersion Technologies","54.28","10","542.80","全部成交","10@54.26","2025/10/14 12:27:26 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","54.26","542.60","2025/10/14 12:27:27 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","","","","0","2.02"
"卖空","AMZN260618P195000","AMZN 260618 195.00P","12.60","1","1,260.00","全部成交","1@12.60","2025/10/14 11:56:24 (美东)","限价单","当日有效","","","","","美股","USD","","1","12.60","1,260.00","2025/10/14 11:56:25 (美东)","美股","USD","","","1.99","0.3","","","","","","0.02","0.02","0.18","","0.01","","0","2.52"
"卖出","UNH","联合健康","357.21","4","1,428.84","全部成交","4@357.21","2025/10/14 10:01:47 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","4","357.21","1,428.84","2025/10/14 10:01:55 (美东)","美股","USD","","","0.99","1","0.01","","","","","","","","","0.01","","0","2.01"
"卖出","HIMS","Hims & Hers Health","51.88","20","1,037.60","全部成交","20@51.88","2025/10/14 09:34:27 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","51.88","1,037.60","2025/10/14 09:34:28 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","0.01","","0","2.06"
"卖出","AMZN","亚马逊","213.69","7","1,495.83","全部成交","7@213.78","2025/10/14 09:31:40 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","7","213.78","1,496.46","2025/10/14 09:31:41 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","0.01","","0","2.02"
"卖出","AMZN260618C250000","AMZN 260618 250.00C","13.40","1","1,340.00","全部成交","1@13.40","2025/10/14 09:31:25 (美东)","限价单","当日有效","","","","","美股","USD","","1","13.40","1,340.00","2025/10/14 09:31:25 (美东)","美股","USD","","","1.99","0.3","","","","","","0.02","0.02","0.18","","0.01","","0","2.52"
"买入","09988","阿里巴巴-W","156.00","200","31,200.00","全部成交","200@156.00","2025/10/14 15:35:17 (香港)","限价单","当日有效","允许","","","","港股","HKD","","200","156.00","31,200.00","2025/10/14 15:35:17 (香港)","港股","HKD","6997","","9.36","15","1.31","32","1.76","0.84","0.05","","","","","","","","60.32"
"卖出","09988","阿里巴巴-W","154.60","200","30,920.00","全部成交","200@154.60","2025/10/14 14:21:47 (香港)","限价单","当日有效","允许","","","","港股","HKD","","200","154.60","30,920.00","2025/10/14 14:21:48 (香港)","港股","HKD","5460","","9.28","15","1.3","31","1.75","0.83","0.05","","","","","","","","59.21"
"买入","BMNR","Bitmine Immersion Technologies","54.91","30","1,647.30","全部成交","30@54.795","2025/10/13 10:06:16 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","30","54.795","1,643.85","2025/10/13 10:06:16 (美东)","美股","USD","","","0.99","1","0.09","","","","","","","","","","","0","2.08"
"卖出","BRK.B","伯克希尔-B","市价","4","1,955.36","全部成交","4@488.84","2025/10/13 09:35:32 (美东)","市价单","当日有效","","盘中","","","美股","USD","","4","488.84","1,955.36","2025/10/13 09:35:32 (美东)","美股","USD","","","0.99","1","0.01","","","","","","","","","0.01","","0","2.01"
"买入","BIDU251219C150000","BIDU 251219 150.00C","4.90","2","980.00","全部成交","2@4.90","2025/10/13 09:32:19 (美东)","限价单","当日有效","","","","","美股","USD","","2","4.90","980.00","2025/10/13 09:33:33 (美东)","美股","USD","","","1.99","0.6","","","","","","0.03","0.04","0.36","","","","0","3.02"
"卖出","18099","小米摩通五乙购B.C","0.014","80,000","1,120.00","全部成交","80,000@0.014","2025/10/13 11:45:23 (香港)","限价单","当日有效","不允许","","","","港股","HKD","","80,000","0.014","1,120.00","2025/10/13 11:45:23 (香港)","港股","HKD","4735","","3","15","0.05","0","0.06","0.03","0","","","","","","","","18.14"
"买入","09988","阿里巴巴-W","160.40","100","16,040.00","全部成交","100@160.40","2025/10/13 09:57:24 (香港)","限价单","当日有效","允许","","","","港股","HKD","","100","160.40","16,040.00","2025/10/13 09:57:25 (香港)","港股","HKD","6996","","4.81","15","0.67","17","0.91","0.43","0.02","","","","","","","","38.84"
"买入","AMZN","亚马逊","220.95","7","1,546.65","全部成交","7@220.77","2025/10/10 11:47:09 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","7","220.77","1,545.39","2025/10/10 11:47:10 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","","","0","2.01"
"买入","BIDU251219C150000","BIDU 251219 150.00C","4.20","1","420.00","全部成交","1@4.20","2025/10/10 11:35:26 (美东)","限价单","当日有效","","","","","美股","USD","","1","4.20","420.00","2025/10/10 11:58:38 (美东)","美股","USD","","","1.99","0.3","","","","","","0.02","0.02","0.18","","","","0","2.51"
"卖出","TSLA","特斯拉","市价","8","3,343.52","全部成交","8@417.94","2025/10/10 11:34:03 (美东)","市价单","当日有效","","盘中","","","美股","USD","","8","417.94","3,343.52","2025/10/10 11:34:04 (美东)","美股","USD","","","0.99","1","0.02","","","","","","","","","0.01","","0","2.02"
"买入","BIDU251219C150000","BIDU 251219 150.00C","4.00","1","400.00","已撤单","0@0.00","2025/10/10 11:26:18 (美东)","限价单","当日有效","","","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
