标的,名称,买入时间,卖出时间,买入价,卖出价,数量,买入金额,卖出金额,盈亏,盈亏率,市场
AMZN,亚马逊,2025-05-01 12:14:44,2025-08-01 10:02:49,189.36,217.74,10.0,,,,0.0,美股
AMZN,亚马逊,2025-05-02 09:55:46,2025-08-01 10:02:49,187.6989,217.74,10.0,,,,0.0,美股
AMZN,亚马逊,2025-05-27 15:11:32,2025-08-01 10:02:49,205.32,217.74,20.0,,,,0.0,美股
AMZN,亚马逊,2025-10-06 09:49:44,2025-10-14 09:31:41,217.2,213.78,5.0,,,,0.0,美股
AMZN,亚马逊,2025-10-09 12:20:48,2025-10-14 09:31:41,224.04,213.78,5.0,,,,0.0,美股
AMZN,亚马逊,2025-10-10 09:46:55,2025-10-14 09:31:41,227.8,213.78,5.0,,,,0.0,美股
AMZN,亚马逊,2025-10-10 11:47:10,2025-10-14 09:31:41,220.77,213.78,7.0,,,,0.0,美股
HIMS,Hims & Hers Health,2025-03-25 09:52:59,2025-03-25 10:24:45,37.32,36.56,40.0,,,,0.0,美股
HIMS,Hims & Hers Health,2025-05-06 10:07:38,2025-05-08 10:01:54,43.365,53.15,50.0,,,,0.0,美股
HIMS,Hims & Hers Health,2025-08-12 12:51:40,2025-09-16 09:55:52,48.159,51.5603,40.0,,,,0.0,美股
HIMS,Hims & Hers Health,2025-09-12 12:28:21,2025-09-16 09:55:52,53.35,51.5603,10.0,535.52,,,,美股
HIMS,Hims & Hers Health,2025-10-01 15:20:56,2025-10-14 09:34:28,56.0,51.88,25.0,,,,0.0,美股
HIMS,Hims & Hers Health,2025-10-07 12:27:32,2025-10-14 09:34:28,56.8176,51.88,25.0,,,,0.0,美股
HIMS,Hims & Hers Health,2025-10-07 12:27:48,2025-10-14 09:34:28,56.87,51.88,50.0,,,,0.0,美股
HIMS,Hims & Hers Health,2025-10-17 10:54:54,2025-10-20 10:04:58,53.3097,51.5303,16.0,855.0,,,,美股
01810,小米集团-W,2024-10-14 11:04:59,2025-02-27 11:34:59,22.8,51.4,200.0,,,,0.0,港股
01810,小米集团-W,2024-10-15 10:41:21,2025-02-27 11:34:59,23.85,51.4,200.0,,,,0.0,港股
01810,小米集团-W,2024-10-16 10:37:42,2025-02-27 11:34:59,22.7,51.4,200.0,,,,0.0,港股
01810,小米集团-W,2024-10-17 15:46:06,2025-02-27 11:34:59,23.2,51.4,400.0,,,,0.0,港股
01810,小米集团-W,2024-10-21 15:52:45,2025-02-27 11:34:59,24.35,51.4,200.0,,,,0.0,港股
01810,小米集团-W,2024-10-29 14:06:08,2025-02-27 11:34:59,25.55,51.4,200.0,,,,0.0,港股
01810,小米集团-W,2024-11-04 14:53:57,2025-02-27 11:34:59,27.2,51.4,200.0,,,,0.0,港股
01810,小米集团-W,2024-11-06 15:06:54,2025-02-27 11:34:59,27.6,51.4,200.0,,,,0.0,港股
01810,小米集团-W,2024-11-07 14:27:25,2025-02-27 11:34:59,27.65,51.4,200.0,,,,0.0,港股
01810,小米集团-W,2024-11-21 11:25:54,2025-02-27 11:34:59,28.4,51.4,200.0,,,,0.0,港股
01810,小米集团-W,2025-02-27 11:41:03,2025-02-27 13:11:52,52.2,51.95,,,,,0.0,港股
01810,小米集团-W,2025-02-27 14:07:02,2025-02-27 14:09:10,54.05,53.8,,,,,0.0,港股
01810,小米集团-W,2025-04-02 10:56:20,2025-04-02 15:33:29,46.85,44.55,200.0,,,,0.0,港股
01810,小米集团-W,2025-08-12 15:32:21,2025-09-25 15:03:31,51.9,59.25,200.0,,,,0.0,港股
01810,小米集团-W,2025-08-21 10:57:39,2025-09-25 15:03:31,51.45,59.25,200.0,,,,0.0,港股
01810,小米集团-W,2025-08-26 15:22:30,2025-09-25 15:03:31,53.4,59.25,200.0,,,,0.0,港股
BMNR,Bitmine Immersion Technologies,2025-09-22 10:00:39,2025-09-22 11:18:29,58.97,56.27,10.0,591.72,,,,美股
